job_id,job_title,extracted_job_skills,experienced_level,extracted_job_skills_count,role_category,extracted_requirements,extracted_responsibilities
89,fraud investigation analyst,sql excel google data studio,mid level,3,other,2 years of experience in antifraud fraud ops fraud investigations or similar role fresh graduates with strong data skills and or with intern experience are welcome bachelors or masters degree in mathematics statistics computer science information systems or related field strong sql skills writing complex queries joins aggregations experience building dashboards in google data studiodashboards tools is preferred advanced knowledge of microsoft excel strong analytical thinking and detailoriented ability to detect anomalies interpret data trends and provide actionable insights high accuracy in handling sensitive and largescale datasets curious proactive and eager to learn about fraud schemes and investigation techniques excellent both verbally and in written english if you like wild growth and working with happy enthusiastic overachievers youll enjoy your career with us,extract clean and analyze large datasets to identify potential fraudulent activities in all traveloka products develop sql queries to suppo fraud detection investigation and reporting needs suppo investigators by providing data insights evidence and pattern analysis document findings from investigations analyze the case and recommend action items and feasible improvements to minimize fraud from happening in the future provide input insights on fraudulent methodsbehaviors to be used to develop preventive and curative actions interact with issuing institutions and customers to validate the information to confirm or cancel authorizations and manage disputes understand traveloka products and business processes indepth compile and present repo to the team on the fraud findings
90,it functional (system analyst),tidak ada tools spesifik,mid level,1,business analyst,pendidikan s1 dari jurusan teknologi informatika it atau pendidikan relevan lainnya pengalaman minimal 2 tahun di bidang it functional system analyst memahami konsep alur finance ap ar treasury dan ekspedisi memiliki pengetahuan seputar logic programming cnet lebih disukai memiliki kemampuan untuk memahami kebutuhan dan komunikasi yang baik dengan user bersedia bekerja pada hari senin sabtu penempatan kerja di pluit jakarta deskripsi pekerjaan melakukan analisa monitoring menangani masalah dan permintaan dukungan teknis atau saran rekomendasi pengembangan desain sistem dengan bagian user melakukan pengecekan issue atau masalah menganalisa kendala apabila terjadi bugs atau human error dan berkoordinasi dengan bagian programmer untuk perbaikan sistem melakukan pengecekan dan testing program melakukan pendokumentasian administrasi sistem it flowchart functional design user manual sesuai dengan peraturan dan standar yang berlaku,melakukan analisa monitoring menangani masalah dan permintaan dukungan teknis atau saran rekomendasi pengembangan desain sistem dengan bagian user melakukan pengecekan issue atau masalah menganalisa kendala apabila terjadi bugs atau human error dan berkoordinasi dengan bagian programmer untuk perbaikan sistem melakukan pengecekan dan testing program melakukan pendokumentasian administrasi sistem it flowchart functional design user manual sesuai dengan peraturan dan standar yang berlaku
91,"senior data scientist (analytics), business platform",sql tableau python r power bi,mid level,5,customer service,and outcomes to ensure datadriven decisionmaking you will conduct tailored analyses for specific products and operations define critical business metrics track them rigorously and recommend continuous improvements you will frame business scenarios and propose features that impact critical business processes and decisions you will transform requirements into concise insights through reports presentations and dashboards and consolidate data from multiple sources to create comprehensive views for decisionmaking you will develop data pipelines and custom data science models to solve identified problems you will launch ab tests analyze the results and provide recommendations based on your findings you will be a pioneer in the adoption of gen ai across functions and leverage gen ai to optimize product features business operations and internal productivity,get to know the team we drive innovation and operational excellence by turning data into actionable strategies that elevate the endtoend experience for consumers driverpartners and merchantpartners from optimizing transaction flows and platform efficiency to enhancing reliability we strive to make grab the first choice every time get to know the role you will repo to the product analytics manager business platform and youll have the unique opportunity to collaborate across disciplines product business engineering design data science to transform data into dynamic solutions your insights will directly contribute to developing groundbreaking products and initiatives setting new benchmarks for excellence this isnt just any role its a chance to make a tangible impact on millions of lives every day the critical tasks you will perform you will understand our requirements and outcomes to ensure datadriven decisionmaking you will conduct tailored analyses for specific products and operations define critical business metrics track them rigorously and recommend continuous improvements you will frame business scenarios and propose features that impact critical business processes and decisions you will transform requirements into concise insights through reports presentations and dashboards and consolidate data from multiple sources to create comprehensive views for decisionmaking you will develop data pipelines and custom data science models to solve identified problems you will launch ab tests analyze the results and provide recommendations based on your findings you will be a pioneer in the adoption of gen ai across functions and leverage gen ai to optimize product features business operations and internal productivity
92,equity research analyst,tidak ada tools spesifik,mid level,1,researcher,a graduate from a reputable university minimum gpa 32 with a major in finance accounting economics or related field over three years of handson experience and a solid theoretical foundation in the value research and assessment of listed companies with a background of three or more years as a fund manager or industry and company researcher more than 2 years of experience working as an auditor at a big four company expertise in enterprise valuation methodologies including a mastery of models such as dcf and ddm proficient in fundamental analysis of companies with a robust foundation in financial and economic analysis those who can use the bloomberg system are preferred profound knowledge of industry analysis methodologies demonstrating the ability to rapidly assess industries make informed judgments on growth and development and articulate critical points in industry assessments fluent in chinese or english for effective communication possessing polished presentation skills and adept in utilizing tools such as bloomberg and microsoft office demonstrate a commitment to excellence uphold radical truthfulness possess an openminded approach and exhibit strategic intelligence willingness to undergo comprehensive training for the development of advanced analytical thinking genuine interest in stock valuation and adept at reading annual reports possession of a minimum hsk 6 certification is a plus,as an equity research analyst you will play a crucial role in conducting indepth research on companies enabling a comprehensive understanding of the indonesian market under the tutelage of accomplished private equity investors you will refine your writing and logical thinking skills preparing you for potential advancement to the role of a fund manager join the industry research group of the companys securities research institute conduct indepth research on all listed companies in a certain 12 industries analyze and judge the industry competition pattern and predict the future longterm development of the industry conduct onsite or telephone online surveys of listed companies interview industry experts senior industry funds and professional investors to build understanding of the industry and listed companies your day to day task includes craft meticulous research reports tailored for both retail and institutional investors within predetermined deadlines conduct thorough company analysis through a combination of online sources and onsite surveys to extract unique insights
93,data analyst (mandarin speaker),sql tableau python power bi excel,mid level,5,data analyst,bachelors degree in a relevant field proficient in mandarin spoken and written preferably experienced in 35 years in data analysis or a related field skills proficient in tools like sql or python experience with data visualization tools eg tableau power bi strong excel skills pivot tables formulas etc logical thinking problemsolving and strong communication skills,analyze and interpret data to provide actionable insights create and maintain dashboards to track key metrics collaborate with teams to understand data needs and solve problems present findings clearly to both technical and nontechnical audiences ensure data accuracy and integrity through regular checks
94,system analyst (mandarin speaker),api,senior level,1,business analyst,and system architecture analyze and solve problems with a structured approach communicate technical concepts effectively to nontechnical stakeholders manage multiple tasks with attention to detail and prioritize work to meet deadlines skills knowledge strong understanding of system architecture databases and the software development lifecycle sdlc familiarity with programming languages is a plus proficient in modeling tools eg uml erd and system design software eg figma knowledge of apis and system integration methods experienced in gathering and analyzing user requirements to develop system specifications ability to collaborate with crossfunctional teams to align system solutions with business needs,focus system design technical requirements and system architecture analyze and solve problems with a structured approach communicate technical concepts effectively to nontechnical stakeholders manage multiple tasks with attention to detail and prioritize work to meet deadlines skills knowledge strong understanding of system architecture databases and the software development lifecycle sdlc familiarity with programming languages is a plus proficient in modeling tools eg uml erd and system design software eg figma knowledge of apis and system integration methods experienced in gathering and analyzing user requirements to develop system specifications ability to collaborate with crossfunctional teams to align system solutions with business needs
95,credit analyst,tidak ada tools spesifik,mid level,1,other,minimum 24 years work experience related to credit analyst credit operations in consumer and sme lending and minimum 2 years working in financial institutions experienced in kyc eg document check validity of identity customers and merchants verification risk assessment using credit bureau data and non credit bureau data eg financial statement verification call point plus if experienced in financial analysis deep understanding about slik reporting strong in analytical skills and attention to detail selfstarter adaptive to dynamic changes punctual in deliveries good selfmanagement proactive meticulous and selfmotivated fluent in both bahasa indonesia and english proficient in operating msoffice and gsuite if you like wild growth and working with happy enthusiastic overachievers youll enjoy your career with us,verifying customers information ensuring completeness validity of the data submitted and given by the customer conduct credit risk assessments by analyzing customer data and financials verifying creditworthiness through phone or video calls and providing recommendations on credit applications including approvals and rejections handling daily applications review and provide decisions of all incoming applications following policy and sop applied analyze and identify any missingfake information during assessment and repo to supervisor and related department monitoring of existing accounts on repayment credit check account behavior achieving daily targets for reviewing incoming loan applications and adhering to committed service level agreements sla able to read understand and evaluate customer payment performance and historical credit data to make informed decisions for future approvals preparing detailed reports to communicate the outcomes of assessments to the supervisor and related department providing proactive insights and recommendations on existing procedures policies and risk assessments for improvement
96,marketing operations analyst,google analytics,unspecified,1,operations / project management,and skills proficient in english in order to handle the local market written and spoken arabic is a bonus proven experience in performance marketing or lead generation with a strong focus on digital advertising platforms like facebook ads google ads and tiktok ads strong analytical skills with the ability to interpret data identify trends and make datadriven decisions excellent communication and collaboration skills to work effectively with creative and sales teams detailoriented with strong organizational skills capable of managing multiple campaigns and tasks simultaneously resultsdriven mindset with the ability to focus on achieving qualified lead volume and conversion goals ability to troubleshoot and solve problems quickly especially under tight deadlines proactive attitude with a passion for staying updated on the latest trends and best practices in digital marketing and lead generation,plan create and execute lead generation campaigns across platforms like google ads facebook and tiktok ensure that targeting ad creatives and landing pages work seamlessly together monitor and manage ad spend to ensure resources are utilized efficiently prioritizing performance and lead quality identify and scale highperforming campaigns to increase the volume of qualified leads analyze performance data to uncover trends evaluate lead quality and continuously optimize campaigns for better results conduct ab tests on ad creatives messaging and landing pages to uncover insights that drive campaign improvements generate detailed reports to track metrics like cost per lead and conversion rates providing actionable insights for further optimization set up accurate tracking and reporting using tools like google analytics and crm platforms to ensure the effectiveness of lead generation efforts work with the creative team to develop compelling ads that resonate with target audiences and encourage engagement collaborate closely with the sales team to ensure leads are converting effectively while implementing strategies to enhance lead quality when needed stay informed about industry trends competitor strategies and platform updates to inspire fresh and innovative campaign ideas
97,sales compensation analyst,sql looker power bi excel databricks,mid level,5,sales / bd,what essential skills you will need bachelors degree in finance business administration economics or related field minimum 3 years in roles related to sales compensation strategy or finance ability to analyze complex situations identify issues and develop actionable solutions while navigating ambiguity familiarity with analytical tools sql looker studio power bi databricks etc advanced excel skills including financial modeling statistical analysis and data visualization ability to work with teams and manage multiple stakeholders organizational abilities negotiation expertise and attention to detail clear and accurate articulation of information,get to know the team join the commercial team at grab a dynamic team shaping the future within grab that helps to simplify business transportation corporate food and package deliveries and related services for companies across southeast asia get to know the role we are looking for a sales compensation analyst to join our team onsite in south jakarta indonesia you will design manage and analyse sales compensation plans that motivate reward and also increase sales performance you will repo to the sales compensation manager and will work fully onsite the critical tasks you will perform establish target configurations for each okr metric at the individual level create financial models to forecast sales compensation costs and impact manage the sales compensation administration process nationwide including a tracker calculation and validation of commissions and bonuses at the end of each month and collaborate with other teams for disbursements conduct analyses and discussion of sales okr performance data metrics targets and compensation structures with the respective stakeholders to ensure smooth okr implementation that leading to actionable insights to improve sales team performance liaise with analytics team to retrieve data to track sales performance contribute to internal projects designed to suppo the sales team and ensure compliance with company policies and regulations communicate and provide training regarding compensation plans and the tools to the sales team and serve as the contact for compensation plan inquiries addressing questions from the sales team
98,finance analyst,r excel,entry level,2,finance / accounting,bachelors degree in finance or accounting from a reputable university overseas graduates are encouraged to apply fresh graduates are welcome to apply minimum 1 year of experience in a finance managerial role with proven analytical and continuous improvement skills including project management and business analysis strong ability to build financial models and forecasts for business cases and commercial arrangements excellent communication skills with experience collaborating across multiple levels including executives functions and regions and the ability to simplify complex financial information proficiency in english preferred strong microsoft excel skills knowledge of power query is an advantage strong analytical skills with the ability to connect financial results to operational drivers generate insights and suppo decisionmaking,suppo the commercial director and business development team in driving growth and profitability including tender submissions pricing forecasting and contract assessments partner with rd and operations to validate product costing and review future volume projections lead product finance analytics pricing cogs mix costtosell profitability etc and explain key variance drivers provide insights and recommendations to leadership for budgeting forecasting and profitable growth analyze performance and propose action plans to improve profitability eg value engineering corrective actions drive crossfunctional projects to simplify standardize and strengthen commercialfinance processes suppo internal controls and contract standardization to ensure compliance and efficiency develop and enhance financial tools dashboards scenario planning roi analysis etc lead or suppo strategic initiatives transformation projects and sales force effectiveness improvements collaborate with senior leadership on longterm financial and strategic planning
99,functional analyst lead,tidak ada tools spesifik,mid level,1,business analyst,diutamakan s1 sistem informasi atau yang berpengalaman dengan bisnis proses di perkebunan kelapa sawit dan pengolahannya lebih dari 10 tahun diutamakan berpengalaman sebelumnya sebagai f unctionalsystem analyst lebih dari 2 tahun mempunyai pengetahuan dan kemampuan dalam query database dan desain ul figma mampu mendesain system dengan uml flowchart data flow diagram dll memahami alur operasional secara menyeluruh keuangan operasional traksi hr payroll memahami konsep pelaporan business intelligence dalam bentuk dashboard,
100,financial planning and analysis supervisor (fp&a),tidak ada tools spesifik,unspecified,1,other,bachelors degree in accounting finance or a related field knowledgeable in costing manufacturing flow pl management and working capital management proficient in financial planning with strong financial analysis skills minimum of 1 year in financial planning analysis supervisor fpa preferably in commercial or manufacturing sectors experienced in collaborating and coordinating across departments excellent communication skills both verbal and written detailoriented accurate and resultsdriven willing to work from the office wfo at our alam sutera location job responsibilities financial planning budgeting lead the planning and forecasting cycle across commercial or manufacture functions ensuring alignment with strategic and operational goals costing manufacturing flow analysis analyze cost structures product margins and manufacturing flows to suppo costsaving initiatives and profitability improvements profit loss management monitor analyze and interpret pl performance identifying trends and variances to suppo strategic decisionmaking working capital optimization track and manage working capital components to ensure healthy cash flow and operational efficiency crossdepartment collaboration work closely with sales marketing operations and supply chain to ensure financial alignment across initiatives financial reporting analysis produce accurate timely financial reports and conduct indepth variance analysis against budgets and forecasts stakeholder communication present financial insights trends and recommendations clearly to management and relevant stakeholders why join eka jaya group at eka jaya group we empower our team members to learn grow and make an impact if youre looking for an exciting opportunity in a dynamic and fastpaced environment is the place for you join us and help safeguard the financial health and compliance of hanasui and ncotwo beloved brands that are making waves in the beauty industry upsize your career with us at lets together,financial planning budgeting lead the planning and forecasting cycle across commercial or manufacture functions ensuring alignment with strategic and operational goals costing manufacturing flow analysis analyze cost structures product margins and manufacturing flows to suppo costsaving initiatives and profitability improvements profit loss management monitor analyze and interpret pl performance identifying trends and variances to suppo strategic decisionmaking working capital optimization track and manage working capital components to ensure healthy cash flow and operational efficiency crossdepartment collaboration work closely with sales marketing operations and supply chain to ensure financial alignment across initiatives financial reporting analysis produce accurate timely financial reports and conduct indepth variance analysis against budgets and forecasts stakeholder communication present financial insights trends and recommendations clearly to management and relevant stakeholders why join eka jaya group at eka jaya group we empower our team members to learn grow and make an impact if youre looking for an exciting opportunity in a dynamic and fastpaced environment is the place for you join us and help safeguard the financial health and compliance of hanasui and ncotwo beloved brands that are making waves in the beauty industry upsize your career with us at lets together
101,business analyst,tidak ada tools spesifik,mid level,1,business analyst,from relevant stakeholders to understand user needs managing various stakeholders interests timelines and expectations in order to ensure projects are delivered ontime within scope and within budget providing and updating detailed projects action plans timelines and comprehensive documentation resolving problems related to project execution by defining escalation plans for issue resolution and correction plans in the event of deviation from project plan,the business analyst technology at traveloka is the brain behind efficient integrated systems across product engineering operations and finance you will be accountable for designing analyzing measuring performance and optimizing domain models and business processes across divisions to ensure a smooth efficient company operation identifying pain points in existing business processes and providing effective reliable and scalable solutions gathering requirements from relevant stakeholders to understand user needs managing various stakeholders interests timelines and expectations in order to ensure projects are delivered ontime within scope and within budget providing and updating detailed projects action plans timelines and comprehensive documentation resolving problems related to project execution by defining escalation plans for issue resolution and correction plans in the event of deviation from project plan
102,it business analyst,sql keras,unspecified,2,business analyst,document bpr melakukan koordinasi dengan developer berkaitan dengan enchacement atau new request yang diajukan user melakukan qc terhadap aplikasi yang sudah dikembangkan oleh developer menghandle complain,melakukan analisa kebutuhan user untuk dituangkan ke dalam business requirement document bpr melakukan koordinasi dengan developer berkaitan dengan enchacement atau new request yang diajukan user melakukan qc terhadap aplikasi yang sudah dikembangkan oleh developer menghandle complain
103,transport product operations analyst - post purchase,go,unspecified,1,operations / project management,a strong individual with high discipline and reliability highly resilient and mentally tough willingness to run the extra mile and work with unpredictable schedules ie standby on an instant communication channel in case an issue arises ability to work calmly and effectively in a high pressure situation excellent communication skills good analytical skills bachelors degree in it field computer science electrical engineering telco or at least 1 year of technical experience in software development it operation suppo infrastructure field if you like wild growth and working with happy enthusiastic overachievers youll enjoy your career with us,traveloka the leading online travel and lifestyle platform is seeking a dynamic and highly motivated product operations associate to join the team if you have a passion for problemsolving and love working in a fastpaced environment then this role is tailormade for you as a product operations associate at traveloka you will play a crucial role in ensuring the stability and seamless operation of our platform allowing us to continue serving millions of satisfied customers in southeast asia 24x7 your mission will involve 1 becoming the troubleshooting expert youll be the goto person when it comes to identifying and resolving system issues working closely with a diverse group of stakeholders youll swiftly analyze problems and go the extra mile to implement effective solutions ensuring our platform operates flawlessly 2 collaborating with the best youll be at the forefront of communication liaising with both internal teams and external partners to resolve any issues that may arise this presents a unique opportunity to interact with brilliant minds and build a vast network within the tech industry 3 champion of product fixing beyond take charge of executing product fixes and embrace exciting ad hoc tasks your dedication to innovation will contribute to making travelokas platform even more userfriendly and efficient
104,finance solutions excellence analyst,google cloud sql aws python azure,mid level,5,finance / accounting,what essential skills you will need bachelors degree in computer science data science finance or a related field with 24 years of relevant experience in process improvement automation or technical roles experienced in sql python or google appscript including cursor management and experience with relational databases for efficient data handling handson experience with cloud platforms such as aws google cloud or azure enabling deployment and scaling of aidriven solutions experienced with data structures and algorithms with familiarity in large language models llms such as gpt4 claude or opensource alternatives to develop optimized ai and automation solutions experienced analyzing and improving business processes with project management exposures and collaboration work across teams,get to know the team the finance solutions excellence team is dedicated to improving finance processes through automation and datadriven solutions we partner with global process owners data engineers data analysts and finance teams to deliver impactful improvements our team values curiosity and a commitment to creating growth together we are shaping the future of finance by creating smarter faster and scalable solutions get to know the role the finance solutions excellence analyst will drive process improvements within the finance team focusing on aidriven solutions using python sql and llms you will collaborate with global process owners data engineers data analysts and finance teams to design and deliver impactful solutions you will repo directly to the senior manager finance solutions excellence operations the critical tasks you will perform execute process improvement projects to automate and improve finance operations utilizing technology for scalable solutions analyze and redesign manual finance processes in collaboration with finance teams ensuring efficiency and accuracy develop python scripts and sql queries for data extraction validation reconciliation and reporting build and prototype aidriven tools and analytics solutions to suppo datainformed decisionmaking work closely with data engineering and analytics teams to integrate solutions with enterprise systems and architecture
105,system analyst as400 ( integration ),api sql,senior level,2,business analyst,and translating them into technical specifications for system development and integration designing developing and implementing efficient and scalable integration solutions between our as400 system and other businesscritical applications providing technical suppo and troubleshooting for our as400 system and related integrations develop and maintain system architecture for scalable and secure environments collaborating with crossfunctional teams to to align technical solutions with business needs continuously optimising system performance and identifying areas for improvement document technical specifications and reports with clarity and precision skill mandatory programming skills on rpg proven experience in system integrations ideally within financial or payment domains strong command of english spoken and written expertise in system solution design and optimization proficiency in creating system architecture for complex systems handson experience with api development and integration rest soap familiarity with microservices architecture and related technologies is preferred solid experience with as400 ibm iseries operations and development knowledge of impact analysis methodologies for integrated systems excellent collaboration skills across business and technical teams strong documentation and analytical capabilities what were looking for minimum 5 years of experience as a system analyst or integration specialist preferably with exposure to as400 systems experience in software development project in banking industry is preferable strong understanding of enterprise integration patterns middleware technologies and api design principles proficiency in programming languages such as rpg cl and sql as well as experience with integration tools and platforms excellent problemsolving and critical thinking skills to identify and resolve complex integration challenges ability to work independently and collaboratively within a team to deliver highquality solutions strong communication skills to effectively translate business requirements into technical solutions what we offer at pt sigma global teknologi sigmatech we are committed to providing a supportive and nurturing work environment that fosters personal and professional growth our employees enjoy a range of benefits including competitive salary and performancebased bonuses comprehensive health insurance and wellness programs opportunities for career advancement and skill development collaborative and inclusive work culture,
106,accounting analyst,tidak ada tools spesifik,unspecified,1,finance / accounting,suppo the project team by offering accounting expertise during system configuration and client discussions ensure erp system alignment with the latest indonesian accounting and tax regulations stay up to date with local accounting standards and relevant erp trends act as a liaison between clients and internal teams ensuring clear communication of accounting needs and system limitations assist erp consultants in client meetings when accounting input is needed communicate effectively with internal stakeholders project product and management teams assist consultant in requirement gathering to client if necessary serve as a subject matter expert,analyze and evaluate client business processes to identify gaps with the erp systems accounting functionality provide solutions or workarounds for complex transactions special accounting cases and unique client requirements suppo the project team by offering accounting expertise during system configuration and client discussions ensure erp system alignment with the latest indonesian accounting and tax regulations stay up to date with local accounting standards and relevant erp trends act as a liaison between clients and internal teams ensuring clear communication of accounting needs and system limitations assist erp consultants in client meetings when accounting input is needed communicate effectively with internal stakeholders project product and management teams assist consultant in requirement gathering to client if necessary serve as a subject matter expert
107,ewa risk analyst (risk & compliance),excel,mid level,1,other,bachelors degree in finance risk management statistics or related field 2 years experience in risk management credit assessment or compliance preferably in fintech lending or payroll financing strong analytical skills comfortable with large datasets and excelbi tools good understanding of indonesian financial regulations and compliance frameworks attention to detail problemsolving mindset and ability to work independently proficiency in bahasa indonesia and english,assess and monitor risks related to earned wage access ewa transactions and customer portfolios develop and maintain risk scoring models focusing on employee repayment capacity monitor usage data to detect abnormal patterns fraud or misuse prepare risk assessment reports and recommend mitigation measures collaborate with operations finance and product teams to design safer workflows assist in collection process with employers when needed
108,(senior) syslog server analyst,sql java aws python azure,senior level,5,other,analysis documentation collaborate with business users and stakeholders to gather and analyze functional requirements for new or existing applications document system requirements workflows and configuration changes for future reference and training purposes translate business requirements into technical specifications to guide system configurations and customizations system configuration customization configure and customize enterprise applications to meet business needs work with technical teams to implement complex application changes enhancements and integrations ensure that applications are aligned with best practices and standards collaboration crossfunctional support work closely with it development teams and business units to ensure seamless application performance and functionality provide training and suppo to end users on application features and best practices participate in project meetings providing insights and feedback on application capabilities and limitations performance monitoring analysis and reporting monitor application performance and usage metrics to identify areas for improvement proactively recommend improvements to optimize performance and increase user satisfaction generate and maintain reports related to application usage issues and performance incident problem management manage incidents and problems related to applications ensuring timely resolution and minimal disruption to business operations identify recurring issues and propose longterm solutions to prevent future incidents project management lead or assist in the implementation of new application solutions upgrades and migrations ensure that projects are delivered on time and meet the needs of the business collaborate with project managers to ensure proper resource allocation and project scope management,position overview the senior syslog server analyst will play a pivotal role in managing analyzing and optimizing enterprise applications and server log to meet the business needs of the organization the ideal candidate will have expertise in troubleshooting software configuration application support and collaboration with crossfunctional teams to ensure minimum risk exposure of the application by governing and analyzing the log
109,innovation management analyst,tidak ada tools spesifik,entry level,1,manager / lead,bachelors degree in industrial engineering business administration or related field have minimum 1 year of experience in handling and improving business process fresh graduates are welcome to apply have good knowledge and proven knowledge of business process modeling and quality improvement methodologies as business process improvement excellent communication analytical and evaluating skills willing to be placed in alam sutera tangerang,reviewing developing and redesigning companys business processes as well as implementing quality management system and continuous improvement handling annual improvementinnovation event which can be participated by all employees as well as do mentoring for participants
110,investment analyst (internship),tidak ada tools spesifik,unspecified,1,other,1 wfo with minimum periods of 3 months 2 strong interest in investment products 3 experience in using bloomberg terminal 4 willingness to learn uiux design tools figma 5 proactive and initiative attitude,1 assist in investment research and analysis 2 suppo the business development activities within the team 3 participate actively in user interface and user experience uiux design processes 4 collaborate effectively with the team and contribute proactively to projects
111,financial analyst executive,power bi oracle excel,senior level,3,finance / accounting,educational background from bachelors or master degree in finance accounting and economics minimum experience 35 years of relevant experience in forecasting budgeting and others skill related to financial planning analysis functions have strong analytical quantitative problemsolving skills detail and good in accuracy proficiency in microsoft excel financial modeling experience with erp and reporting tools eg sap oracle hyperion power bi is preferred basic understanding of ifrs with good reporting skills no tolerance for financial error and highly skilled in use of excel spreadsheets strong communication skills and excellent command of english,generally this position will be suppo for preparation and complete of accurate and reliable financial plan managing income expenses profitability cash flow capex monitoring working capital and evaluate performance including suppo the treasury sr assistant manager in preparing weekly banking transactions payments and assisting in cash pooling activities this position also handling such as tracking and monitoring monthly budget realization for capex and opex identifying and flagging variances for each user department compile and prepare monthly financial performance material including analyzing budget realization highlighting significant variances supporting analysis financial reports and ensuring timely accurate reporting monitor ongoing budget realization compare with annual plan and forecast and communicate to user departments regarding any significant variances while considering remaining months for alignment
112,"fp&a senior analyst (food, ads and merchants)",tidak ada tools spesifik,unspecified,1,other,into clear financial impactresults and viceversa apply business judgment and financial insights to assist business units bu with decisionmaking related to new initiatives products and business opportunities providing finance leadership with insights into product performance and trends based on financialbusiness data and ontheground interactions with key product stakeholders weekly and monthly performance reporting repo and analyze trends and variances between actuals forecasts and plans work with stakeholders to design financial dashboards for relevant kpis data analytics work with data sets large or small to extract insights and make recommendations to stakeholders provide suppo to your assigned business unit for monthly quarterly annual and longrange planning processes for eg rolling forecast and annual budgets responsible for regular projectionsforecasting of business unit performance providing cfo and business unit leadership with an independent view on business unit performance adhoc analysis run analysis to help uncover growth opportunities cost efficiencies or ways to further mitigate risks,
113,risk portfolio analyst,r sql python,entry level,3,other,min 1 tahun pengalaman di bagian risk management atau posisi terkait pengalaman di industri multifinancebankingp2p lending lebih disukai menguasai data queries process python sql r memiliki kemampuan analitik dan komunikasi yang baik,melakukan analisa portfolio perusahaan secara general dan melakukan identifikasi terhadap problem yang terjadi serta merekomendasikan perbaikan yang harus dilakukan demi tercapainya budget yang telah ditetapkan membantu membuat projection dan perumusan budget menyampaikan update analisa portofolio kepada stakeholder secara akurat dan tepat waktu mempersiapkan mengumpulkan mengkonsolidasikan dan mengirimkan laporan terhadap kewajiban pelaporan regular kepada regulator atau pihak ketiga memberikan suppo kepada internal maupun external risk untuk analisa dan proses yang berhubungan dengan portofolio perusahaan minimum qualifications min 1 tahun pengalaman di bagian risk management atau posisi terkait pengalaman di industri multifinancebankingp2p lending lebih disukai menguasai data queries process python sql r memiliki kemampuan analitik dan komunikasi yang baik
114,23. marketing analyst staff,tidak ada tools spesifik,unspecified,1,marketing,s1 matematika statistika memiliki pemahaman mengenai marketing bisnis mampu membuat laporan yang berkaitan dengan sales memiliki kemampuan komunikasi yang baik mampu bekerja baik secara tim maupun individual memiliki inisiatif yang baik mampu mengoperasikan komputer ms office,membuat laporan penjualan stok barang berdasarkan sistem membuat laporan selling in selling out stock data leasing perdealer dan pertype update bank data setiap bulan membuat frame work strategy pdca area membuat mapping class dealer area monitoring pencapaian target stu area by model monitoring activity dealer area apply more
115,data analytic associate (for mitra retention & engagement),sql tableau google data studio power bi excel,mid level,5,other,education bachelorsdiploma in statistics economics management industrial engineering mathematics or related fields fresh graduates from the above backgrounds are welcome preferably with 12 years of experience in logisticsecommerce experience in data processing reporting is a strong advantage hard skills advanced excel pivot lookup textdate formulas simple visualizations basic sql bi tools tableau power bi google data studio is a plus data analysis on churn productivity basic understanding of courierlogistics operations expected kpi output timely and accurate retention churn reports 95 accuracy welldocumented retention program data assist in the execution of retention programs according to the timeline,1 data analysis reporting collect and process data on courier churn attendance performance and satisfaction prepare dailyweeklymonthly reports on retention and productivity 2 retention program suppo assist in the execution of retention programs incentives benefits rewards engagement manage courier data administration related to programs participants benefits received outcomes suppo courier satisfaction surveys and analyze the results 3 business analyst suppo conduct basic analysis related to recruitment cost productivity and retention program effectiveness provide preliminary databased recommendations to the supervisormanager suppo the monitoring of courier operational kpis delivery success rate drop per hour etc coordinate with recruitment and operations teams for data collection suppo communication to couriers regarding retention program information
